feature,mean_abs_shap
INST_AMT_INSTALMENT_MEAN,0.0039598914
AMT_INCOME_TOTAL,0.003938587
NAME_FAMILY_STATUS_Single / not married,0.00385166
ORGANIZATION_TYPE_School,0.003632865
ORGANIZATION_TYPE_Military,0.0036075693
APARTMENTS_MEDI,0.0034672043
INST_LATE_PAYMENT_FLAG_SUM,0.0032956456
FLAG_DOCUMENT_16,0.00327608
BASEMENTAREA_MEDI,0.0031776822
OBS_60_CNT_SOCIAL_CIRCLE,0.003128181
TOTALAREA_MODE,0.0031192738
BUREAU_SK_ID_BUREAU_COUNT,0.0029360277
BUREAU_BUREAU_IS_CLOSED_SUM,0.0029335506
ORGANIZATION_TYPE_Construction,0.0027026
PREV_AMT_APPLICATION_MAX,0.002677972
OCCUPATION_TYPE_Accountants,0.0026696806
INST_PAYMENT_SHORTFALL_FLAG_SUM,0.0025661136
ELEVATORS_MEDI,0.0025140836
LIVINGAREA_MEDI,0.0025021925
ELEVATORS_AVG,0.0023011658
FLAG_DOCUMENT_13,0.0022210784
ORGANIZATION_TYPE_Security Ministries,0.0021436147
NONLIVINGAREA_MODE,0.0021216776
PREV_PREV_REFUSED_FLAG_SUM,0.0020130258
CNT_CHILDREN,0.0019853492
CNT_FAM_MEMBERS,0.001955952
OCCUPATION_TYPE_Drivers,0.0019470183
BASEMENTAREA_AVG,0.001936127
OBS_30_CNT_SOCIAL_CIRCLE,0.0019314099
FLOORSMAX_MODE,0.0018295856
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0018109995
NAME_CONTRACT_TYPE_Revolving loans,0.0017782386
LANDAREA_MEDI,0.0017019277
LIVINGAREA_AVG,0.0016584893
ENTRANCES_AVG,0.0015940643
BASEMENTAREA_MODE,0.0015853726
ORGANIZATION_TYPE_Business Entity Type 3,0.0014773058
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0014588203
LANDAREA_AVG,0.0014535523
ORGANIZATION_TYPE_Transport: type 3,0.0014466322
FLAG_DOCUMENT_18,0.001366581
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0013664934
REGION_RATING_CLIENT,0.001273166
PREV_SK_ID_PREV_COUNT,0.0011027498
FLAG_EMAIL,0.0010965489
FLAG_OWN_REALTY_N,0.0010936202
OCCUPATION_TYPE_High skill tech staff,0.0010194024
FLAG_DOCUMENT_8,0.0009780081
ORGANIZATION_TYPE_Industry: type 7,0.00095649826
ORGANIZATION_TYPE_Trade: type 2,0.00087557506
ORGANIZATION_TYPE_Business Entity Type 1,0.0008495062
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,0.0008070567
ORGANIZATION_TYPE_Transport: type 4,0.0007802616
WALLSMATERIAL_MODE_Mixed,0.00071373157
ORGANIZATION_TYPE_Housing,0.0006429738
NAME_HOUSING_TYPE_Office apartment,0.00060698896
LIVE_REGION_NOT_WORK_REGION,0.00059512345
REG_REGION_NOT_WORK_REGION,0.00056860386
OCCUPATION_TYPE_Laborers,0.0005582394
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,0.00050288107
NAME_EDUCATION_TYPE_Incomplete higher,0.0004812801
WALLSMATERIAL_MODE_Wooden,0.00044099885
BUREAU_CNT_CREDIT_PROLONG_MEAN,0.00043659192
NAME_TYPE_SUITE_Children,0.00043101216
BUREAU_CREDIT_DAY_OVERDUE_MAX,0.00040772097
NAME_INCOME_TYPE_Pensioner,0.00040760182
FLAG_CONT_MOBILE,0.00040353788
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,0.00040177256
ENTRANCES_MEDI,0.00039925677
"WALLSMATERIAL_MODE_Stone, brick",0.0003855634
OCCUPATION_TYPE_Unknown,0.00035644838
ORGANIZATION_TYPE_Trade: type 3,0.0003104459
ORGANIZATION_TYPE_Kindergarten,0.00030899176
FLAG_DOCUMENT_6,0.0003073159
EMERGENCYSTATE_MODE_Yes,0.0003072062
WEEKDAY_APPR_PROCESS_START_MONDAY,0.00030324628
NAME_TYPE_SUITE_Unknown,0.00029271978
EMERGENCYSTATE_MODE_No,0.00027163667
ELEVATORS_MODE,0.00026834453
REG_CITY_NOT_WORK_CITY,0.0002583062
ORGANIZATION_TYPE_Bank,0.00022034142
BUREAU_CREDIT_DAY_OVERDUE_MEAN,0.00021486389
OCCUPATION_TYPE_Private service staff,0.00021357549
ORGANIZATION_TYPE_University,0.00020737397
ORGANIZATION_TYPE_Industry: type 3,0.00020533288
ENTRANCES_MODE,0.00020154608
FLAG_DOCUMENT_15,0.00019307669
FLAG_PHONE,0.00018560262
OCCUPATION_TYPE_HR staff,0.00018507693
WALLSMATERIAL_MODE_Block,0.00018306098
NAME_TYPE_SUITE_Unaccompanied,0.00018049168
ORGANIZATION_TYPE_Security,0.00017286435
ORGANIZATION_TYPE_Realtor,0.00017242924
NAME_FAMILY_STATUS_Civil marriage,0.00013267364
OCCUPATION_TYPE_Security staff,0.00012949278
NAME_FAMILY_STATUS_Separated,0.000120672725
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.00011616422
ORGANIZATION_TYPE_Trade: type 6,8.963023e-05
"NAME_TYPE_SUITE_Spouse, partner",8.793001e-05
AMT_REQ_CREDIT_BUREAU_MON,8.715398e-05
FLAG_DOCUMENT_5,8.51002e-05
NAME_INCOME_TYPE_Commercial associate,8.387216e-05
ORGANIZATION_TYPE_Advertising,8.141308e-05
ORGANIZATION_TYPE_Industry: type 9,7.733429e-05
NAME_TYPE_SUITE_Family,7.4459356e-05
WEEKDAY_APPR_PROCESS_START_THURSDAY,6.801906e-05
NAME_FAMILY_STATUS_Widow,5.6030847e-05
HOUSETYPE_MODE_block of flats,4.533528e-05
ORGANIZATION_TYPE_Other,4.442276e-05
ORGANIZATION_TYPE_Legal Services,4.368575e-05
ORGANIZATION_TYPE_Industry: type 1,4.1234245e-05
AMT_REQ_CREDIT_BUREAU_WEEK,3.9279446e-05
ORGANIZATION_TYPE_Industry: type 12,3.217798e-05
ORGANIZATION_TYPE_Postal,2.8973107e-05
FLAG_DOCUMENT_11,2.434576e-05
ORGANIZATION_TYPE_Government,1.887953e-05
ORGANIZATION_TYPE_Restaurant,1.8240033e-05
ORGANIZATION_TYPE_Telecom,1.644422e-05
AMT_REQ_CREDIT_BUREAU_DAY,1.5650783e-05
NAME_HOUSING_TYPE_With parents,1.4381001e-05
OCCUPATION_TYPE_Waiters/barmen staff,1.4090553e-05
ORGANIZATION_TYPE_Religion,0.0
HOUSETYPE_MODE_terraced house,0.0
HOUSETYPE_MODE_Unknown,0.0
FLAG_DOCUMENT_21,0.0
ORGANIZATION_TYPE_Services,0.0
ORGANIZATION_TYPE_Trade: type 4,0.0
BUREAU_CNT_CREDIT_PROLONG_SUM,0.0
FLAG_DOCUMENT_14,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
BUREAU_CREDIT_DAY_OVERDUE_SUM,0.0
ORGANIZATION_TYPE_XNA,0.0
HOUSETYPE_MODE_specific housing,0.0
ORGANIZATION_TYPE_Police,0.0
FLAG_MOBIL,0.0
FLAG_EMP_PHONE,0.0
FLAG_DOCUMENT_4,0.0
BUREAU_BUREAU_OVERDUE_FLAG_SUM,0.0
BUREAU_BUREAU_OVERDUE_FLAG_MEAN,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_12,0.0
ORGANIZATION_TYPE_Trade: type 1,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_17,0.0
NAME_HOUSING_TYPE_Municipal apartment,0.0
NAME_HOUSING_TYPE_House / apartment,0.0
OCCUPATION_TYPE_IT staff,0.0
OCCUPATION_TYPE_Low-skill Laborers,0.0
NAME_INCOME_TYPE_Maternity leave,0.0
NAME_INCOME_TYPE_Businessman,0.0
NAME_INCOME_TYPE_Student,0.0
NAME_TYPE_SUITE_Other_B,0.0
FLAG_OWN_REALTY_Y,0.0
CODE_GENDER_Unknown,0.0
NAME_TYPE_SUITE_Group of people,0.0
NAME_TYPE_SUITE_Other_A,0.0
NAME_EDUCATION_TYPE_Lower secondary,0.0
NAME_INCOME_TYPE_Unemployed,0.0
NAME_HOUSING_TYPE_Co-op apartment,0.0
NAME_FAMILY_STATUS_Unknown,0.0
NAME_HOUSING_TYPE_Rented apartment,0.0
NAME_EDUCATION_TYPE_Academic degree,0.0
REG_REGION_NOT_LIVE_REGION,0.0
LIVE_CITY_NOT_WORK_CITY,0.0
WALLSMATERIAL_MODE_Unknown,0.0
OCCUPATION_TYPE_Managers,0.0
WALLSMATERIAL_MODE_Monolithic,0.0
WALLSMATERIAL_MODE_Others,0.0
OCCUPATION_TYPE_Cleaning staff,0.0
OCCUPATION_TYPE_Cooking staff,0.0
OCCUPATION_TYPE_Realty agents,0.0
OCCUPATION_TYPE_Secretaries,0.0
ORGANIZATION_TYPE_Culture,0.0
ORGANIZATION_TYPE_Cleaning,0.0
ORGANIZATION_TYPE_Agriculture,0.0
ORGANIZATION_TYPE_Business Entity Type 2,0.0
EMERGENCYSTATE_MODE_Unknown,0.0
OCCUPATION_TYPE_Medicine staff,0.0
ORGANIZATION_TYPE_Hotel,0.0
ORGANIZATION_TYPE_Electricity,0.0
ORGANIZATION_TYPE_Industry: type 6,0.0
ORGANIZATION_TYPE_Industry: type 5,0.0
ORGANIZATION_TYPE_Industry: type 4,0.0
ORGANIZATION_TYPE_Industry: type 2,0.0
ORGANIZATION_TYPE_Industry: type 13,0.0
ORGANIZATION_TYPE_Emergency,0.0
ORGANIZATION_TYPE_Industry: type 10,0.0
ORGANIZATION_TYPE_Industry: type 11,0.0
ORGANIZATION_TYPE_Mobile,0.0
ORGANIZATION_TYPE_Medicine,0.0
ORGANIZATION_TYPE_Industry: type 8,0.0
ORGANIZATION_TYPE_Insurance,0.0
ORGANIZATION_TYPE_Transport: type 1,0.0
ORGANIZATION_TYPE_Trade: type 7,0.0
ORGANIZATION_TYPE_Trade: type 5,0.0
ORGANIZATION_TYPE_Transport: type 2,0.0
