model,best_threshold,accuracy,precision,recall,f1_score,roc_auc,pr_auc
XGBoost,0.681954562664032,0.8745833333333334,0.29468044393417525,0.39752194114610223,0.3384615384615385,0.7784015319532129,0.2661539737948497
Logistic Regression,0.6490271314335966,0.8320833333333333,0.23159784560143626,0.4661848218895199,0.30945853324194655,0.7659972916062328,0.2430147033969643
Random Forest,0.49979997103629603,0.823,0.2240267494626224,0.48425400103252453,0.30633572828216854,0.7603537633150819,0.2335547656639636
