feature,mean_abs_shap
FLOORSMAX_MEDI,0.0041485867
OCCUPATION_TYPE_Laborers,0.0038608464
NAME_FAMILY_STATUS_Single / not married,0.0038296522
FLAG_DOCUMENT_18,0.0035938595
CNT_FAM_MEMBERS,0.0035535654
APARTMENTS_MEDI,0.0034382143
PREV_AMT_APPLICATION_SUM,0.0033230744
OCCUPATION_TYPE_Sales staff,0.0033145738
ORGANIZATION_TYPE_Industry: type 9,0.0030982683
OCCUPATION_TYPE_Unknown,0.0029917504
YEARS_BEGINEXPLUATATION_MEDI,0.0029916437
INST_AMT_INSTALMENT_MEAN,0.0029640542
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0028347017
BASEMENTAREA_AVG,0.002711225
FLOORSMAX_AVG,0.0026285914
NONLIVINGAREA_MODE,0.002613896
BASEMENTAREA_MEDI,0.002613293
FLAG_DOCUMENT_13,0.0025959925
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0025859673
INST_PAYMENT_SHORTFALL_FLAG_SUM,0.0025724457
OBS_30_CNT_SOCIAL_CIRCLE,0.0025703697
FLAG_DOCUMENT_8,0.0025618488
YEARS_BEGINEXPLUATATION_AVG,0.0025537198
ENTRANCES_AVG,0.0025223684
OBS_60_CNT_SOCIAL_CIRCLE,0.0025160536
TOTALAREA_MODE,0.002350612
AMT_REQ_CREDIT_BUREAU_MON,0.002337843
LIVINGAREA_MODE,0.0022976159
ORGANIZATION_TYPE_Transport: type 3,0.0022920272
FLAG_PHONE,0.0022613015
BASEMENTAREA_MODE,0.0022255867
LIVINGAREA_MEDI,0.0020232853
INST_LATE_PAYMENT_FLAG_SUM,0.002010854
FLAG_DOCUMENT_16,0.001954634
LANDAREA_AVG,0.0019208506
REGION_RATING_CLIENT,0.0019089523
INST_PAYMENT_SHORTFALL_FLAG_MEAN,0.0017732452
LIVINGAREA_AVG,0.0017590488
"WALLSMATERIAL_MODE_Stone, brick",0.0017482183
LANDAREA_MEDI,0.0017117552
ELEVATORS_AVG,0.0016949981
NONLIVINGAREA_MEDI,0.0016875633
NAME_CONTRACT_TYPE_Revolving loans,0.0016364268
ORGANIZATION_TYPE_Trade: type 2,0.0016178895
FLOORSMAX_MODE,0.0015950338
LANDAREA_MODE,0.0015448552
ORGANIZATION_TYPE_Bank,0.0014424443
NONLIVINGAREA_AVG,0.0013562053
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,0.0013353779
PREV_SK_ID_PREV_COUNT,0.0012000692
ORGANIZATION_TYPE_Police,0.0011468516
PREV_PREV_REFUSED_FLAG_SUM,0.0011440128
OCCUPATION_TYPE_High skill tech staff,0.0011418294
ORGANIZATION_TYPE_Hotel,0.0011356848
NAME_EDUCATION_TYPE_Academic degree,0.0011093663
NAME_EDUCATION_TYPE_Lower secondary,0.0010800095
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0010103383
ENTRANCES_MEDI,0.0010029452
ORGANIZATION_TYPE_Security Ministries,0.0009880393
NAME_HOUSING_TYPE_Office apartment,0.0009837211
OCCUPATION_TYPE_Low-skill Laborers,0.00093616813
ENTRANCES_MODE,0.0009293967
ELEVATORS_MEDI,0.00089648506
ORGANIZATION_TYPE_Medicine,0.0008422405
ORGANIZATION_TYPE_Other,0.0008393657
CNT_CHILDREN,0.00079727033
NAME_TYPE_SUITE_Unaccompanied,0.0007657007
ORGANIZATION_TYPE_Government,0.0007474756
NAME_HOUSING_TYPE_Rented apartment,0.0007339329
NAME_EDUCATION_TYPE_Incomplete higher,0.00069173286
ELEVATORS_MODE,0.0006669854
ORGANIZATION_TYPE_Realtor,0.000590283
LIVE_CITY_NOT_WORK_CITY,0.00058691454
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0005677805
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,0.0005636719
OCCUPATION_TYPE_Medicine staff,0.0005633423
EMERGENCYSTATE_MODE_No,0.0005557915
BUREAU_CNT_CREDIT_PROLONG_SUM,0.00054411235
ORGANIZATION_TYPE_Kindergarten,0.00045219113
FLAG_EMAIL,0.0004371618
NAME_INCOME_TYPE_Pensioner,0.00041277014
WALLSMATERIAL_MODE_Unknown,0.00040758812
FLAG_DOCUMENT_11,0.00036554405
NAME_FAMILY_STATUS_Civil marriage,0.00035128964
FLAG_EMP_PHONE,0.00033546836
ORGANIZATION_TYPE_Trade: type 6,0.0003252381
BUREAU_CNT_CREDIT_PROLONG_MEAN,0.0003206929
FLAG_OWN_REALTY_N,0.00031170715
AMT_REQ_CREDIT_BUREAU_WEEK,0.00030992803
NAME_INCOME_TYPE_Commercial associate,0.00029319056
FLAG_DOCUMENT_15,0.00027058186
NAME_TYPE_SUITE_Unknown,0.00023327366
NAME_FAMILY_STATUS_Widow,0.00023211076
AMT_REQ_CREDIT_BUREAU_DAY,0.00020816653
REG_CITY_NOT_WORK_CITY,0.0002061465
ORGANIZATION_TYPE_Industry: type 5,0.00019482174
NAME_TYPE_SUITE_Family,0.00019432901
NAME_HOUSING_TYPE_With parents,0.0001914216
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.00018224723
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,0.00017495445
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.00017014776
ORGANIZATION_TYPE_Business Entity Type 2,0.00016778111
OCCUPATION_TYPE_Cleaning staff,0.00016563667
OCCUPATION_TYPE_Managers,0.00016406136
"NAME_TYPE_SUITE_Spouse, partner",0.00015974046
ORGANIZATION_TYPE_Legal Services,0.00015215292
HOUSETYPE_MODE_block of flats,0.0001285147
ORGANIZATION_TYPE_Transport: type 1,0.00012587625
ORGANIZATION_TYPE_Trade: type 3,0.00011205888
NAME_TYPE_SUITE_Children,0.00011056296
ORGANIZATION_TYPE_Business Entity Type 1,0.00010492549
HOUSETYPE_MODE_Unknown,0.00010396538
LIVE_REGION_NOT_WORK_REGION,9.6937074e-05
NAME_HOUSING_TYPE_Municipal apartment,8.6197506e-05
FLAG_DOCUMENT_14,8.4052714e-05
OCCUPATION_TYPE_Private service staff,7.6085875e-05
OCCUPATION_TYPE_Security staff,7.549613e-05
ORGANIZATION_TYPE_Industry: type 12,6.661367e-05
FLAG_CONT_MOBILE,6.5705055e-05
ORGANIZATION_TYPE_Telecom,5.7069752e-05
REG_REGION_NOT_WORK_REGION,5.5747136e-05
WALLSMATERIAL_MODE_Wooden,5.2488827e-05
ORGANIZATION_TYPE_Trade: type 4,4.991741e-05
FLAG_DOCUMENT_5,4.833191e-05
ORGANIZATION_TYPE_Services,4.4251236e-05
OCCUPATION_TYPE_Realty agents,4.046358e-05
BUREAU_CREDIT_DAY_OVERDUE_MEAN,3.993343e-05
BUREAU_CREDIT_DAY_OVERDUE_MAX,3.8543618e-05
WALLSMATERIAL_MODE_Block,3.751625e-05
WALLSMATERIAL_MODE_Monolithic,3.730495e-05
HOUSETYPE_MODE_terraced house,3.6587553e-05
ORGANIZATION_TYPE_Restaurant,3.6504425e-05
ORGANIZATION_TYPE_Transport: type 2,3.567759e-05
EMERGENCYSTATE_MODE_Unknown,3.519891e-05
HOUSETYPE_MODE_specific housing,3.403854e-05
NAME_FAMILY_STATUS_Separated,3.178154e-05
ORGANIZATION_TYPE_Industry: type 7,3.0694013e-05
ORGANIZATION_TYPE_Security,2.9772224e-05
REG_REGION_NOT_LIVE_REGION,2.9371455e-05
BUREAU_CREDIT_DAY_OVERDUE_SUM,2.706692e-05
OCCUPATION_TYPE_Secretaries,2.493412e-05
FLAG_OWN_REALTY_Y,2.1715698e-05
ORGANIZATION_TYPE_Transport: type 4,2.0632071e-05
BUREAU_BUREAU_OVERDUE_FLAG_MEAN,1.6765796e-05
ORGANIZATION_TYPE_Housing,1.510448e-05
NAME_HOUSING_TYPE_Co-op apartment,1.35420805e-05
ORGANIZATION_TYPE_Trade: type 7,1.2974608e-05
ORGANIZATION_TYPE_University,1.0797613e-05
FLAG_DOCUMENT_9,1.0504574e-05
OCCUPATION_TYPE_Cooking staff,1.018964e-05
